Policy Number,Age,Years of Driving Experience,Number of Vehicles,Gender,Married,Vehicle Age,Fuel Type,Losses
150023,24,5,1,M,Married,11,P,203.3195946
152720,31,10,1,F,Single,6,P,402.1973024
174207,56,37,1,M,Married,0,D,553.1320959
139895,52,31,1,F,Married,15,P,292.4305792
174407,20,3,1,M,Single,15,P,246.5405761
170545,29,8,1,M,Married,9,P,384.6763948
123164,36,19,1,F,Single,0,P,462.1588562
147118,67,49,1,F,Married,15,P,168.9340361
119842,69,48,1,M,Single,5,P,69.89304091
192628,16,0,1,F,Single,14,P,242.7725761
154593,19,1,1,M,Single,12,D,763.7298567
182495,29,8,1,F,Single,14,P,407.3893742
173214,20,1,1,F,Married,13,P,161.5795211
124315,67,49,1,M,Married,7,P,242.8887756
189976,46,27,1,M,Married,7,P,358.521705
109823,57,40,1,M,Married,15,P,314.6620972
140529,65,48,1,M,Single,11,P,306.7395011
108345,20,1,1,M,Single,15,D,772.6448203
197526,67,49,1,M,Single,3,D,593.4274113
164235,62,45,1,M,Married,0,P,275.2144091
112321,44,27,1,F,Single,10,P,472.5998112
140896,17,0,1,M,Single,15,D,877.0778833
136526,29,10,1,F,Single,0,D,825.2772277
177965,66,49,1,F,Single,6,P,273.1567349
154647,22,3,1,F,Single,11,P,220.6385329
127564,33,16,1,M,Single,13,P,169.3764585
180980,69,48,1,F,Married,0,P,98.07355841
173004,39,22,1,M,Married,3,D,680.1630093
168613,41,22,1,F,Married,13,P,210.312302
102189,20,2,1,F,Married,8,P,354.1103301
190883,68,49,1,F,Married,9,P,155.7208447
162323,31,12,1,M,Married,4,D,670.8921754
124254,30,13,1,M,Single,1,P,446.7508297
168484,64,47,1,M,Married,5,P,109.0263426
184955,68,47,1,F,Married,7,P,119.7330443
188699,49,30,1,M,Single,10,P,454.8247336
152298,23,4,1,M,Single,10,D,845.7592784
137739,50,32,1,M,Single,13,P,274.3142835
102090,39,18,1,F,Single,3,D,791.135206
164014,35,14,1,F,Single,6,P,355.2515755
140277,38,20,1,M,Married,1,D,522.8312209
183688,66,47,1,M,Single,0,P,347.0821846
189679,58,39,1,F,Single,2,P,381.7477309
139993,25,6,1,M,Single,12,D,747.5273873
101061,45,26,1,M,Married,9,P,391.2383998
163029,48,29,1,M,Married,12,P,330.1933096
196673,18,1,1,M,Single,7,D,904.8401349
154414,40,19,1,F,Single,9,P,387.4851589
152345,17,0,1,M,Married,11,P,481.5460256
159755,32,12,1,M,Married,15,P,178.4623223
196090,25,6,1,M,Married,9,D,597.4422021
124743,56,36,1,M,Single,9,P,448.7108596
160933,67,47,1,F,Married,4,P,218.5837842
170212,60,41,1,F,Married,8,P,227.6644878
174318,60,41,1,F,Single,2,D,720.2641611
182975,16,0,1,M,Single,8,D,950.9628027
127853,42,21,1,M,Single,11,P,368.9411753
101368,20,1,1,F,Married,14,P,191.4841522
168719,40,19,1,M,Single,8,D,503.3720137
