Hhid,loyalty,preferred_store_format,lifestyle,gender
421,Very Frequent Shoppers,Very Large Stores,Middle Class,M
801,Occasional Shoppers,Large Stores,Low Affluent Customers,F
951,Occasional Shoppers,Very Large Stores,Low Affluent Customers,X
1161,Occasional Shoppers,Others,Middle Class,F
1691,Occasional Shoppers,Small Stores,Middle Class,F
1921,No longer Shopping,Large Stores,Middle Class,F
3061,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
4371,Occasional Shoppers,Large Stores,Low Affluent Customers,M
4601,Very Frequent Shoppers,Very Large Stores,Middle Class,F
5531,Very Frequent Shoppers,Large Stores,Middle Class,F
5681,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
6311,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
6501,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
7241,Very Frequent Shoppers,Large Stores,Middle Class,F
7621,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
7811,Occasional Shoppers,Large Stores,NA,M
9141,No longer Shopping,Very Large Stores,Very Affluent Customers,F
9711,Occasional Shoppers,Mom and Pop Stores,Middle Class,M
9901,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
10461,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
11391,Occasional Shoppers,Small Stores,Low Affluent Customers,M
11581,Occasional Shoppers,Small Stores,Low Affluent Customers,M
11771,Very Frequent Shoppers,Large Stores,Middle Class,M
12891,Occasional Shoppers,Very Large Stores,Very Affluent Customers,X
12931,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
14981,No longer Shopping,Large Stores,Low Affluent Customers,F
15041,Occasional Shoppers,Others,Middle Class,F
15191,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
15231,Lapsing Shoppers,NA,NA,NA
15571,Occasional Shoppers,Large Stores,Middle Class,F
15611,Very Frequent Shoppers,Very Large Stores,Middle Class,X
16201,Very Frequent Shoppers,Large Stores,Middle Class,M
17281,Occasional Shoppers,Others,Low Affluent Customers,F
18061,Very Frequent Shoppers,Large Stores,Middle Class,F
18441,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
19181,No longer Shopping,Very Large Stores,Low Affluent Customers,F
19411,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
19561,No longer Shopping,Large Stores,Middle Class,F
20541,Occasional Shoppers,Large Stores,Middle Class,F
20881,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
20921,No longer Shopping,Large Stores,Middle Class,F
21661,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
22101,Occasional Shoppers,Large Stores,Very Affluent Customers,F
22251,Occasional Shoppers,Large Stores,Very Affluent Customers,F
23181,Very Frequent Shoppers,Others,Middle Class,M
23561,Very Frequent Shoppers,Large Stores,Low Affluent Customers,X
24341,Occasional Shoppers,Mom and Pop Stores,NA,F
25271,No longer Shopping,Very Large Stores,NA,F
25651,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
26431,Occasional Shoppers,Large Stores,Middle Class,F
26581,Very Frequent Shoppers,Very Large Stores,Middle Class,M
26961,Occasional Shoppers,Large Stores,Low Affluent Customers,F
28291,No longer Shopping,Large Stores,Low Affluent Customers,F
29451,Very Frequent Shoppers,Large Stores,Low Affluent Customers,X
30621,Lapsing Shoppers,Very Large Stores,Very Affluent Customers,X
31171,Occasional Shoppers,Large Stores,Low Affluent Customers,X
31211,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,M
31401,No longer Shopping,Mom and Pop Stores,Very Affluent Customers,X
32671,Occasional Shoppers,Very Large Stores,Middle Class,X
33071,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
34231,Occasional Shoppers,Very Large Stores,Very Affluent Customers,M
36701,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
37061,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
38221,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
38411,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
38561,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,M
39721,Very Frequent Shoppers,Large Stores,Middle Class,M
40661,Occasional Shoppers,Large Stores,Low Affluent Customers,M
40701,Occasional Shoppers,Large Stores,Middle Class,X
41591,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
42371,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,X
43491,Lapsing Shoppers,Others,Very Affluent Customers,M
44311,Occasional Shoppers,Large Stores,Low Affluent Customers,F
44841,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
46741,No longer Shopping,Large Stores,Low Affluent Customers,F
47141,Occasional Shoppers,Very Large Stores,Middle Class,M
47711,Occasional Shoppers,Large Stores,Low Affluent Customers,X
48261,No longer Shopping,Mom and Pop Stores,Very Affluent Customers,M
48451,Occasional Shoppers,Large Stores,Low Affluent Customers,X
48981,No longer Shopping,Others,Low Affluent Customers,M
49041,No longer Shopping,Others,Very Affluent Customers,F
49381,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
49421,Occasional Shoppers,Others,Low Affluent Customers,F
51291,Occasional Shoppers,Very Large Stores,Middle Class,F
53231,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
53611,No longer Shopping,Large Stores,Very Affluent Customers,F
53951,Occasional Shoppers,Large Stores,Middle Class,F
54201,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
54731,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
54881,Occasional Shoppers,Large Stores,Very Affluent Customers,F
55321,Occasional Shoppers,Large Stores,Low Affluent Customers,X
55701,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
55851,Very Frequent Shoppers,Large Stores,Middle Class,M
57371,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,M
57601,Occasional Shoppers,Large Stores,Very Affluent Customers,F
58721,Occasional Shoppers,Others,Low Affluent Customers,M
58911,Occasional Shoppers,Large Stores,Very Affluent Customers,F
59121,No longer Shopping,Very Large Stores,NA,M
59991,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
60101,Very Frequent Shoppers,Large Stores,Middle Class,F
60591,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
61371,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
61411,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
61601,Occasional Shoppers,Others,Very Affluent Customers,M
61941,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
62871,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
62911,No longer Shopping,Others,Middle Class,F
64051,Occasional Shoppers,Large Stores,Middle Class,F
64961,Very Frequent Shoppers,Large Stores,Middle Class,F
65741,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,M
67301,Very Frequent Shoppers,Large Stores,Middle Class,X
67641,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
67981,Occasional Shoppers,Large Stores,Low Affluent Customers,F
70861,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
71301,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
71451,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
71831,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
72041,No longer Shopping,Small Stores,Middle Class,F
72231,Lapsing Shoppers,Very Large Stores,Very Affluent Customers,F
72611,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
72801,Occasional Shoppers,Large Stores,Middle Class,F
72951,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
73011,Occasional Shoppers,Large Stores,Middle Class,F
73731,Very Frequent Shoppers,Very Large Stores,Middle Class,F
75591,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
76031,Occasional Shoppers,Large Stores,Middle Class,F
76601,Very Frequent Shoppers,Very Large Stores,Middle Class,M
76751,Occasional Shoppers,Large Stores,Middle Class,F
77911,Very Frequent Shoppers,Others,Middle Class,F
