Hhid,InstoreVisits,InstoreSpend,InstoreQuantity,OnlineVisits,OnlineSpend,OnlineQuantity,TotalVisits,TotalSpend,TotalQuantity
421,58,2100.07,1254,0,0,0,58,2100.07,1254
801,12,246.21,108,0,0,0,12,246.21,108
951,27,773.6,631,0,0,0,27,773.6,631
1161,53,1216.77,361,0,0,0,53,1216.77,361
1691,8,88.59,78,0,0,0,8,88.59,78
1921,3,127.83,119,0,0,0,3,127.83,119
3061,94,1018.53,632,0,0,0,94,1018.53,632
4371,25,478.77,238,0,0,0,25,478.77,238
4601,12,441.97,156,9,997.89,695,21,1439.86,851
5531,53,2077.65,1189,0,0,0,53,2077.65,1189
5681,17,732.52,423,0,0,0,17,732.52,423
6311,36,1178.97,691,0,0,0,36,1178.97,691
6501,39,1876.68,995,0,0,0,39,1876.68,995
7241,34,631.2,598,0,0,0,34,631.2,598
7621,31,822.47,546,0,0,0,31,822.47,546
7811,2,19.42,50,0,0,0,2,19.42,50
9141,2,33.32,10,0,0,0,2,33.32,10
9711,11,234.38,63,0,0,0,11,234.38,63
9901,40,1140.34,594,0,0,0,40,1140.34,594
10461,3,25.03,24,0,0,0,3,25.03,24
11391,79,291.45,287,0,0,0,79,291.45,287
11581,25,176.61,114,0,0,0,25,176.61,114
11771,85,922.6,860,0,0,0,85,922.6,860
12891,3,60.58,27,0,0,0,3,60.58,27
12931,58,1483.5,621,0,0,0,58,1483.5,621
14981,10,512.73,373,0,0,0,10,512.73,373
15041,39,968.51,259,0,0,0,39,968.51,259
15191,31,499.2,339,0,0,0,31,499.2,339
15231,1,120.46,77,14,1965,937,15,2085.46,1014
15571,15,642.83,468,0,0,0,15,642.83,468
15611,80,1051.94,658,0,0,0,80,1051.94,658
16201,26,553.38,307,0,0,0,26,553.38,307
17281,17,384.4,131,0,0,0,17,384.4,131
18061,47,923.19,615,0,0,0,47,923.19,615
18441,107,2476.79,839,0,0,0,107,2476.79,839
19181,5,98.38,25,0,0,0,5,98.38,25
19411,35,200.43,132,0,0,0,35,200.43,132
19561,3,45.33,33,0,0,0,3,45.33,33
20541,28,275.98,215,0,0,0,28,275.98,215
20881,42,1334.49,1158,0,0,0,42,1334.49,1158
20921,1,4.28,9,0,0,0,1,4.28,9
21661,42,246.83,225,0,0,0,42,246.83,225
22101,28,793.38,438,0,0,0,28,793.38,438
22251,47,1849.43,1037,0,0,0,47,1849.43,1037
23181,62,2104.71,438,0,0,0,62,2104.71,438
23561,45,1200.06,780,7,577.35,515,52,1777.41,1295
24341,22,32.62,32,0,0,0,22,32.62,32
25271,2,39.9,7,0,0,0,2,39.9,7
25651,88,1081.99,707,0,0,0,88,1081.99,707
26431,4,38.05,24,0,0,0,4,38.05,24
26581,107,1343.89,715,0,0,0,107,1343.89,715
26961,11,187.59,148,0,0,0,11,187.59,148
28291,7,66.63,50,0,0,0,7,66.63,50
29451,71,2591.61,1930,0,0,0,71,2591.61,1930
30621,2,7.72,5,0,0,0,2,7.72,5
31171,65,1055.02,406,0,0,0,65,1055.02,406
31211,11,120.12,106,0,0,0,11,120.12,106
31401,2,86.99,3,0,0,0,2,86.99,3
32671,1,0,5,0,0,0,1,0,5
33071,5,69,12,0,0,0,5,69,12
34231,33,352.7,244,0,0,0,33,352.7,244
36701,45,1811.54,1394,0,0,0,45,1811.54,1394
37061,149,5498.47,1465,17,2302.06,1240,166,7800.53,2705
38221,87,2462.41,1027,6,495.03,385,93,2957.44,1412
38411,34,1851.72,681,0,0,0,34,1851.72,681
38561,91,2605.19,1490,0,0,0,91,2605.19,1490
39721,45,1811.95,575,0,0,0,45,1811.95,575
40661,48,1159.11,515,0,0,0,48,1159.11,515
40701,6,169.57,126,0,0,0,6,169.57,126
41591,173,3046.26,1259,0,0,0,173,3046.26,1259
42371,59,1102.05,386,0,0,0,59,1102.05,386
43491,15,602.44,60,0,0,0,15,602.44,60
44311,29,430.24,259,0,0,0,29,430.24,259
44841,6,87.84,45,0,0,0,6,87.84,45
46741,7,222.55,96,0,0,0,7,222.55,96
47141,51,1987.08,818,0,0,0,51,1987.08,818
47711,28,302.22,199,0,0,0,28,302.22,199
48261,3,64.13,46,0,0,0,3,64.13,46
48451,6,40.92,34,0,0,0,6,40.92,34
48981,2,60.05,2,0,0,0,2,60.05,2
49041,4,90.82,11,0,0,0,4,90.82,11
49381,37,894.64,563,0,0,0,37,894.64,563
49421,15,1019.8,361,0,0,0,15,1019.8,361
51291,13,283.24,106,0,0,0,13,283.24,106
53231,27,1472.8,1188,0,0,0,27,1472.8,1188
